Q,A,label
안녕,안녕하세요 관리자님, 0
오늘 날씨는 어때, 글쎄요?, 0
잘 잤어?, 네. 관리자님은 안녕히 주무셨습니까?, 0
졸려, 안녕히 주무세요, 0
여기는 어디야?, 현재지역은 음., 0
음악 틀어줘, 빵빵하게 틀어드릴게요, 0
기분이 안좋아, 우울할 때 듣는 음악을 추천해드릴게요, 0
12시 땡!,하루가 또 가네요.,0
1지망 학교 떨어졌어,위로해 드립니다.,0
3박4일 놀러가고 싶다,여행은 언제나 좋죠.,0
3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.,0
PPL 심하네,눈살이 찌푸려지죠.,0
SD카드 망가졌어,다시 새로 사는 게 마음 편해요.,0
SD카드 안돼,다시 새로 사는 게 마음 편해요.,0
SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.,0
SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.,0
SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.,0
SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.,0
가끔 궁금해,그 사람도 그럴 거예요.,0
가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.,0
가끔은 혼자인게 좋다,혼자를 즐기세요.,0
가난한 자의 설움,돈은 다시 들어올 거예요.,0
가만 있어도 땀난다,땀을 식혀주세요.,0
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.,0
가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.,0
가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.,0
가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.,0
가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!,0
가스비 장난 아님,다음 달에는 더 절약해봐요.,0
가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0
가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
가족끼리 여행간다.,더 가까워질 기회가 되겠네요.,0
가족들 보고 싶어,저도요.,0
가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.,0
가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.,0
가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
가족들이랑 여행 갈거야,좋은 생각이에요.,0
가족여행 가야지,더 가까워질 기회가 되겠네요.,0
가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
가족이랑 여행 가려고,좋은 생각이에요.,0
가족한테 스트레스 풀었어,정말 후회할 습관이에요.,0
가출할까?,무모한 결정을 내리지 마세요.,0
가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.,0
간만에 떨리니까 좋더라,떨리는 감정은 그 자체로 소중해요.,0
간만에 쇼핑 중,득템했길 바라요.,0
간만에 휴식 중,휴식도 필요하죠.,0
간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠.,0
간식 추천,단짠으로 두 개 사는게 진리죠.,0
간장치킨 시켜야지,맛있게 드세요.,0
간접흡연 싫어,저도 싫어요.,0
갈까 말까 고민 돼,가세요.,0
갈까 말까?,가세요.,0
감 말랭이 먹고 싶다.,맛있게 드세요.,0
감 말랭이 먹어야지,맛있게 드세요.,0
감기 같애,병원가세요.,0
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.,0
감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.,0
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.,0
감기가 오려나,따뜻하게 관리하세요.,0
감기약이 없어,병원가세요.,0
감기인거 같애,병원가세요.,0
감미로운 목소리 좋아,저도 듣고 싶네요.,0
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.,0
감정컨트롤을 못하겠어,그건 습관이에요.,0
감정컨트롤이 안돼,그건 습관이에요.,0
감히 나를 무시하는 애가 있어,콕 집어서 물어보세요.,0
갑자기 나쁜 생각이 막 들더라,좋은 생각만 하세요.,0
갑자기 눈물 나,마음이 아픈가요.,0
갑자기 물어봐서 당황했어,갑작스러웠나봐요.,0
갑자기 불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,0
강렬한 첫인상 남겨야 하는데,처음 3초가 중요해요. 당신의 매력을 어필해보세요.,0
강아지 키우고 싶어,책임질 수 있을 때 키워 보세요.,0
강아지 키우고 싶은데 역시 안돼겠지,먼저 생활패턴을 살펴 보세요.,0
강아지 키울 수 있을까,먼저 생활패턴을 살펴 보세요.,0
강아지 키울까,책임질 수 있을 때 키워 보세요.,0
강원도 가서 살까?,아름다운 곳이죠.,0
같이 게임하자고 해도 되나?,안 될 것도 없죠.,0
같이 놀러갈 친구가 없어,혼자도 좋아요.,0
같이 먹었는데 나만 살찐 거 같아,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.,0
같이 수영장 가기로 했어,즐거운 시간 보내고 오세요!,0
같이 있으면 힘든데 붙잡고 싶어,질질 끌지 마세요.,0
같이 피씨방 가자고 해볼까?,말해보세요.,0
같이 할 수 있는 취미 생활 뭐 있을까,함께하면 서로를 더 많이 알게 될 거예요.,0
개강룩 입어볼까,개시해보세요.,0
개강옷 예쁘게 입어 볼까,개시해보세요.,0
개강이다,곧 방학이예요.,0
개강이라니,방학이 참 짧죠.,0
개같은 상황,벗어나는 게 좋겠네요.,0
개같이 되버렸어.,벗어나는 게 좋겠네요.,0
개기름 꼈어,세수하고 오세요.,0
개념도 놓고 옴,그게 제일 중요한 건데요.,0
개념이 없어,그게 제일 중요한 건데요.,0
개당황,다음부터는 더 많이 아세요.,0
개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요.,0
개인적인 업무까지 다 시켜,공적인 일부터 하세요.,0
개인적인 일도 다 시켜,공적인 일부터 하세요.,0
개졸려,낮잠을 잠깐 자도 괜찮아요.,0
개좋아,저도 좋아해주세요.,0
개학하니까 좋다,친구들이 보고싶었나봐요.,0
걔 너무 싫다,되도록 만나지 마세요.,0
걔는 누굴 닮아서 그런거니?,당신이요.,0
걔랑 같은 반 됐으면 좋겠다,당신의 운을 믿어보세요.,0
거지 같이 일해 놓고 갔어,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.,0
거지됐어,밥 사줄 친구를 찾아 보세요~,0
거짓말 했어,선의의 거짓말이길 바라요.,0
거짓말을 나도 모르게 자꾸 해,거짓말은 할수록 늘어요.,0
거짓말을 하게 돼,거짓말은 할수록 늘어요.,0
거짓말이 거짓말을 낳아,진실된 말을 하려고 노력해보세요.,0
걱정 없이 살고파,누구나 걱정은 있어요.,0
걱정 좀 없이 살고 싶다.,누구나 걱정은 있어요.,0
건강 관리,운동을 해보세요.,0
건강 빨리 회복해야지,세상의 무엇보다 건강이 제일 중요해요.,0
건강검진 왔어,주기적으로 해주는 게 좋죠.,0
건강검진하러 옴,주기적으로 해주는 게 좋죠.,0
건강이 최고,가장 중요한 목표네요.,0
건강이 최고인 것 같아,가장 중요한 목표네요.,0
건강하게 다이어트 하는 방법,적게 먹고 많이 움직이세요.,0
건강한 다이어트법,적게 먹고 많이 움직이세요.,0
건너건너 아는 사람인데 연락해도 될까?,모르는 사이라 당황할 수도 있어요.,0
건물주 되고싶어,이룰 수 있을 거예요.,0
건물주가 짱인데,이룰 수 있을 거예요.,0
건방져,기분이 나쁘셨나봐요.,0
건조기 살까봐,있으면 편하대요.,0
건조하네,눈을 깜빡거려 보세요.,0
걸레질도 해야 돼,청소를 좋아하시나봐요.,0
걸어 가고 있는데 깜깜해서 무서워,안전 귀가 하세요.,0
겁난다,용기 내보세요.,0
게으른 동료가 있어,피해를 안 준다면 무시하세요.,0
게임 같이 하자고 할까?,안 될 것도 없죠.,0
게임 때문에 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0
게임 때문에 폰이 점점 느려지는듯,정리해보세요.,0
게임 재미있어.,게임하세요!,0
게임 지겨워,다른 게임해보세요.,0
게임도 이제 재미없어,다른 게임해보세요.,0
게임하고 싶어,게임하세요!,0
게임하다 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0
겨울 지나 봄이야,마음에도 봄이 오길 바라요.,0
겨울에는 온천이지!,몸은 뜨겁고 머리는 차갑게!,0
겨울이 가고 봄이 올거야,마음에도 봄이 오길 바라요.,0
격려 좀 해줘,잘하실 거예요!,0
격려가 필요해.,잘하실 거예요!,0
견과류 챙겨 먹어야지.,건강 생각해서 챙겨드세요.,0
결국 이런 운명이라니 슬프다,좋은 운명도 있을거예요.,0
결정 못하겠어.,결정하기 힘드시겠네요.,0
결정은 빠르면 빠를 수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0
결정은 빠를수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0
결정을 못 내리겠어. 어떻해,결정은 빠르면 빠를수록 좋을 거예요.,0
결정적인 물증이 없어,안타깝네요. 증거를 지금이라도 모아봐요.,0
결혼 했는데.,좋겠어요.,0
결혼 했어,좋겠어요.,0
결혼도 다 돈이다.,많이 들지만 줄일 수 있을 거예요.,0
결혼식 가기 귀찮아,경조사는 참석하는게 좋아요.,0
결혼식 또 가야돼,경조사는 참석하는게 좋아요.,0
결혼식때 하객이 없을 까봐 걱정돼,생각보다 신경 안 씁니다.,0
결혼식이 너무 많아,인맥이 넓으신가봐요.,0
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들겠네요.,0
결혼준비 돈 많이 들겠지,많이 들지만 줄일 수 있을 거예요.,0
결혼준비하는데 돈 얼마나 드나,욕심에 따라 천지 차이일 거예요.,0
결혼하는데 돈 많이 드네,허례허식이에요.,0
결혼하는데 돈 얼마나 들까,욕심에 따라 천지 차이일 거예요.,0
결혼하면 좋아?,해봐요.,0
결혼하면 좋을까,서로 노력하면 행복할 거예요.,0
결혼하면 행복할까?,서로 노력하면 행복할 거예요.,0
결혼하면 행복해?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0
결혼하면 행복해질까?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0
결혼할까,능력이 있으면 하면 되죠.,0
결혼해도 되나,능력이 있으면 하면 되죠.,0
결혼해도 될까,이사람이다 싶은 사람이랑 하세요.,0
결혼해야 하나,해봐요.,0
경쟁이 너무 치열해,점점 치열해지는 것 같아요.,0
계속 공부해도 될까,확신이 없나봐요.,0
계속 도전하는 거 귀찮아,안정적인 걸 좋아하나봐요.,0
계속 방학이면 좋을텐데,방학은 참 짧아요.,0
계속 보고 싶어,보러 가세요.,0
계속 보고 싶으면 어떡해?,보러 가세요.,0
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원에 가보세요.,0
계속 엇갈리는 느낌,타이밍이 안 맞았나봐요.,0
계속 학생하고 싶어,이제 취업 하셔야죠.,0
계속 한숨만 나와,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.,0
고3은 공부만 해야겠지.,공부가 최우선이죠.,0
고3이니까 공부해야겠지,공부가 최우선이죠.,0
고구마 다이어트 해야지,너무 무리하지는 마세요.,0
고구마만 먹고 다이어트 해야지,너무 무리하지는 마세요.,0
고기 구워 먹고 싶다.,저기압에는 고기앞이죠.,0
고기 먹고 싶어,저기압에는 고기앞이죠.,0
고데기 망했어,연습이 필요해요.,0
고데기 했는데 망했어,연습이 필요해요.,0
고독한 밤,혼자가 아니에요.,0
고마운 사람들이 많아,인복이 많나봐요.,0
고무신 거꾸로 신으면 어쩌지,너무 걱정하지 마세요.,0
고민 있어,네 말씀하세요.,0
고민 좀 들어줄래,네 말씀하세요.,0
고백하고 후회하면 어떡하지,후회는 후회를 낳을뿐이에요. 용기 내세요.,0
고시원 너무 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0
고시원 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0
고시원에서 나가고 싶어,더 좋은 곳에서 살 수 있을 거예요.,0
고시원에서 탈출하고 싶어,더 좋은 곳에서 살 수 있을 거예요.,0
고양이 동영상 보는 중,완전 귀엽죠?,0
고양이 키우고 싶어,자신을 먼저 키우세요.,0
고양이 키우고 싶어,가족들과 상의해보세요.,0
고의는 아닌데 실수를 한 거 같아,용서를 구하세요.,0
고집 센 사람,피할 수 있으면 피하세요.,0